Player,Matches,Innings,Runs,Balls_Faced,Outs,Batting_Average,Strike_Rate,Fours,Sixes,Dot_Balls,Dot_Ball_Percentage,Boundary_Percentage,Six_Percentage,Singles_Percentage,Doubles_Percentage,Triples_Percentage
"A Mhatre",7,7,240,131,7,34.29,183.21,31,11,45,34.35,79.17,27.50,29.01,4.58,0.00
"BCJ Cutting",17,17,238,146,10,23.80,163.01,15,19,58,39.73,73.11,47.90,30.14,6.85,0.00
"MD Mishra",17,17,237,213,15,15.80,111.27,24,8,102,47.89,60.76,20.25,30.52,6.57,0.00
"Aniket Verma",12,12,236,148,9,26.22,159.46,12,20,58,39.19,71.19,50.85,32.43,6.76,0.00
"Mohammad Nabi",19,20,221,157,16,13.81,140.76,18,12,60,38.22,65.16,32.58,36.94,5.10,0.64
"K Goel",16,16,218,239,13,16.77,91.21,17,9,130,54.39,55.96,24.77,29.71,4.60,0.42
"AA Jhunjhunwala",15,15,217,218,12,18.08,99.54,19,5,98,44.95,48.85,13.82,37.61,5.96,0.46
"Ramandeep Singh",20,20,217,142,11,19.73,152.82,9,17,50,35.21,63.59,47.00,38.03,7.75,0.70
"K Rabada",30,30,215,216,16,13.44,99.54,16,9,106,49.07,54.88,25.12,33.80,5.56,0.00
"R Dhawan",22,22,210,188,10,21.00,111.70,18,7,85,45.21,54.29,20.00,32.45,8.51,0.53
"UT Yadav",48,48,208,211,20,10.40,98.58,16,9,106,50.24,56.73,25.96,33.18,4.74,0.00
"CA Ingram",15,15,205,183,12,17.08,112.02,22,5,78,42.62,57.56,14.63,37.70,4.92,0.00
"PD Collingwood",7,7,203,159,4,50.75,127.67,9,13,60,37.74,56.16,38.42,41.51,6.29,0.63
"Kuldeep Yadav",37,37,201,240,12,16.75,83.75,18,3,122,50.83,44.78,8.96,34.58,5.83,0.00
"KS Bharat",8,8,199,168,7,28.43,118.45,12,8,62,36.90,48.24,24.12,41.67,8.93,0.60
"SK Warne",27,27,198,219,17,11.65,90.41,14,6,105,47.95,46.46,18.18,37.44,5.48,0.00
"JD Unadkat",27,27,197,170,13,15.15,115.88,16,7,70,41.18,53.81,21.32,37.06,8.24,0.00
"SP Fleming",10,10,196,171,9,21.78,114.62,27,3,86,50.29,64.29,9.18,24.56,6.43,1.17
"AS Raut",16,16,194,172,9,21.56,112.79,13,7,67,38.95,48.45,21.65,42.44,5.23,1.74
"BJ Rohrer",8,9,193,146,7,27.57,132.19,21,5,57,39.04,59.07,15.54,32.88,9.59,0.68
"Salman Butt",7,7,193,172,7,27.57,112.21,30,2,86,50.00,68.39,6.22,27.33,4.07,0.00
"YV Takawale",10,10,192,183,8,24.00,104.92,26,3,100,54.64,63.54,9.38,22.40,6.56,0.00
"HC Brook",11,11,190,159,9,21.11,119.50,23,4,70,44.03,61.05,12.63,31.45,7.55,0.00
"Bipul Sharma",17,17,187,124,6,31.17,150.81,11,9,34,27.42,52.41,28.88,41.13,15.32,0.00
"R Shepherd",12,12,185,93,7,26.43,198.92,12,17,35,37.63,81.08,55.14,24.73,6.45,0.00
"FY Fazal",11,11,183,179,9,20.33,102.23,22,1,74,41.34,51.37,3.28,41.90,3.91,0.00
"MS Wade",14,14,183,185,13,14.08,98.92,23,2,93,50.27,56.83,6.56,29.73,6.49,0.00
"SD Hope",9,9,183,125,7,26.14,146.40,12,12,48,38.40,65.57,39.34,34.40,8.00,0.00
"Sikandar Raza",9,9,182,143,7,26.00,127.27,12,8,59,41.26,52.75,26.37,30.77,12.59,1.40
"AC Voges",7,7,181,143,4,45.25,126.57,15,3,44,30.77,43.09,9.94,42.66,12.59,1.40
"CR Brathwaite",14,14,181,120,13,13.92,150.83,10,16,53,44.17,75.14,53.04,30.83,3.33,0.00
"S Gopal",22,22,180,173,12,15.00,104.05,19,2,71,41.04,48.89,6.67,40.46,6.36,0.00
"AB Agarkar",18,18,179,160,8,22.38,111.88,13,5,60,37.50,45.81,16.76,41.88,9.38,0.00
