player_id,player_name,bat_style,bowl_style,field_pos,player_full_name,player_name2,player_image
10302,MP Yadav,Right hand Bat,Right arm Fast,Unknown,Mayank Yadav,Mayank Yadav,https://www.espncricinfo.com/cricketers/mayank-yadav-1292563
10303,M Siddharth,Right hand Bat,Slow Left arm Orthodox,Unknown,Manimaran Siddharth,Manimaran Siddharth,No Image
10548,BR Sharath,Right hand Bat,NULL,Wicketkeeper,Belur Ravi Sharath,Belur Ravi,No Image
11562,T Kohler-Cadmore,Right hand Bat,Right arm Offbreak,Wicketkeeper,Tom Kohler-Cadmore,Tom Kohler,No Image
11810,PVSN Raju,Left hand Bat,Right arm Medium fast,Unknown,Penumatsa Venkata Satyanarayana Raju,Penumatsa Venkata,No Image
11833,DS Rathi,Right hand Bat,Legbreak,Unknown,Digvesh Singh Rathi,Digvesh Singh,https://www.espncricinfo.com/cricketers/digvesh-rathi-1460529
42511,MS Bhandage,Left hand Bat,Right arm Medium fast,Unknown,Manoj Shivaramsa Bhandage,Manoj Shivaramsa,No Image
42566,V Suryavanshi,Left hand Bat,Slow Left arm Orthodox,Unknown,Vaibhav Suryavanshi,Vaibhav Suryavanshi,https://www.espncricinfo.com/cricketers/vaibhav-suryavanshi-1408688
42603,A Mhatre,Right hand Bat,Right arm Offbreak,Unknown,Ayush Mhatre,Ayush Mhatre,No Image
38,MS Dhoni,Right hand Bat,Right arm Medium,Wicketkeeper,Mahendra Singh Dhoni,Mahendra Singh,No Image
38515,K Santokie,Left hand Bat,Left arm Medium,Unknown,Krishmar Santokie,Krishmar Santokie,No Image
15049,C Ganapathy,Right hand Bat,Right arm Medium,Unknown,Chandrasekar Ganapathy,Chandrasekar Ganapathy,No Image
6715,RA Bawa,Left hand Bat,Right arm Medium fast,Unknown,Raj Angad Bawa,Raj Angad�,No Image
318,UT Yadav,Right hand Bat,Right arm Fast,Unknown,Umeshkumar Tilak Yadav,Umeshkumar Tilak,No Image
16414,KMDN Kulasekara,Right hand Bat,Right arm Fast medium,Unknown,Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,Kulasekara Mudiyanselage,No Image
37,BA Stokes,Left hand Bat,Right arm Fast medium,Unknown,Benjamin Andrew Stokes,Benjamin Andrew,No Image
1986,MK Lomror,Left hand Bat,Slow Left arm Orthodox,Unknown,Mahipal Krishan Lomror,Mahipal Krishan,No Image
6212,T Shamsi,Right hand Bat,Left arm Wrist spin,Unknown,Tabraiz Shamsi,Tabraiz Shamsi,No Image
